Fold,Accuracy,F1,Precision,Recall
Fold 1,0.9995515695067264,0.9995516727328875,0.9995523631890153,0.9995515695067264
Fold 2,1.0,1.0,1.0,1.0
Fold 3,0.9991027366532077,0.9991031499600221,0.9991059128066477,0.9991027366532077
Fold 4,0.9995513683266039,0.999551471951667,0.9995521637728334,0.9995513683266039
Fold 5,1.0,1.0,1.0,1.0
Mean ± Std,0.9996 ± 0.0003,0.9996 ± 0.0003,0.9996 ± 0.0003,0.9996 ± 0.0003
