Configuration,Features,Accuracy,Acc_Std,F1,Precision,Recall
M3 — All features (with provenance),54,0.9996,0.0003,0.9996,0.9996,0.9996
M3 — Behavior-only (provenance removed),40,0.9998,0.0002,0.9998,0.9998,0.9998
