filename,overall_entropy,entropy_text,max_section_entropy,packer_detected,section_name_anomaly,num_imports,virtual_size_discrepancy,_pack_indicators
1919_WXUsbMaker.exe,7.769123,6.634171,7.792194,0,1,122,0,3
4991_sppsvc.exe,7.140702,7.205738,7.205738,0,5,301,0,3
4990_SppExtComObj.Exe,7.214655,7.544285,7.544285,0,2,172,0,3
4195_nmap-7.95-setup.exe,7.999961,6.41581,6.41581,0,1,165,1,3
5853_installer.exe,7.999993,6.450282,6.698071,0,1,165,1,3
5156_winresume.exe,6.571872,6.538992,6.538992,0,1,0,1,3
5155_winload.exe,6.582446,6.547021,6.547021,0,1,0,1,3
5149_wusa.exe,6.447924,6.033861,7.231677,0,1,235,1,3
4223_uninstall.exe,7.981642,6.406317,7.983205,0,2,698,1,3
4607_Defrag.exe,6.687646,6.007899,7.513752,0,1,176,1,3
4700_GenValObj.exe,7.126747,7.292551,7.292551,0,2,186,0,3
2927_adpcmencode3.exe,7.306354,7.316087,7.316087,0,0,71,0,3
2719_setup.exe,6.693821,6.636036,7.952544,0,0,1,1,3
1515_uninstall.exe,7.079817,6.03971,7.186321,0,1,159,1,3
2750_pexplorer.exe,7.36305,0.0,7.925301,0,3,509,1,3
2146_MEARWSetup.exe,7.771553,6.426765,7.883129,0,1,234,0,3
2753_vlc-cache-gen.exe,7.202972,6.261853,7.296192,0,3,75,1,3
549_grcat.exe,3.789487,5.193966,5.193966,0,1,17,1,3
2758_appcertui.exe,7.078301,7.137914,7.137914,0,0,0,0,3
1837_Velociraptor.exe,6.365048,6.138103,7.795946,0,1,279,1,3
2137_MEARWSetup.exe,7.771553,6.426765,7.883129,0,1,234,0,3
5117_winresume.exe,6.571872,6.538992,6.538992,0,1,0,1,3
5115_winload.exe,6.582446,6.547021,6.547021,0,1,0,1,3
426_nettle-lfib-stream.exe,3.921186,5.300248,5.300248,0,1,19,1,3
2354_OSPPSVC.EXE,7.270889,7.177047,7.908943,0,0,216,0,3
4711_hvax64.exe,6.422956,6.469343,6.469343,0,3,1,1,2
4713_hvix64.exe,6.443557,6.477697,6.477697,0,3,1,1,2
4715_icacls.exe,4.349152,5.928358,5.928358,0,1,103,1,2
4716_icsunattend.exe,4.145273,5.28591,5.28591,0,1,45,1,2
4688_fontview.exe,6.165581,5.949025,6.958909,0,1,147,1,2
4689_forfiles.exe,4.725762,5.856351,5.856351,0,1,102,1,2
4690_fsavailux.exe,3.072879,5.253163,5.253163,0,1,70,1,2
473_setmetamode.exe,4.051646,5.191773,5.191773,0,1,21,1,2
4692_fsquirt.exe,4.958141,6.002497,6.002497,0,1,226,1,2
4694_ftp.exe,4.853381,5.97774,5.97774,0,1,161,1,2
4695_fvenotify.exe,6.469918,6.15677,6.975844,0,1,146,1,2
4696_fveprompt.exe,6.474494,6.252144,6.974823,0,1,90,1,2
4669_esimtool.exe,4.606093,5.563389,5.563389,0,1,84,1,2
4671_eventcreate.exe,4.314237,5.635622,5.635622,0,1,105,1,2
4672_eventvwr.exe,5.857004,5.98041,6.897138,0,1,57,1,2
4674_extrac32.exe,4.455865,5.898604,5.898604,0,1,105,1,2
491_ssh-pageant.exe,5.050125,5.712541,5.712541,0,1,77,1,2
461_reset.exe,5.354135,6.018533,6.018533,0,1,63,1,2
4675_fc.exe,3.767036,5.240373,5.240373,0,1,112,1,2
4677_fhmanagew.exe,6.143266,5.676967,6.814626,0,1,108,1,2
4679_FileHistory.exe,5.684151,5.090296,6.097831,0,1,111,1,2
4680_find.exe,2.952401,4.898737,4.898737,0,1,79,1,2
4682_finger.exe,2.757767,4.826041,4.826041,0,1,65,1,2
4684_fltMC.exe,3.921244,5.801066,5.801066,0,1,81,1,2
4654_dxdiag.exe,5.740044,6.135973,6.135973,0,1,218,1,2
4657_Eap3Host.exe,3.134812,5.186072,5.186072,0,1,72,1,2
4665_efsui.exe,2.554034,4.224302,4.224302,0,1,52,1,2
4666_EhStorAuthn.exe,5.741961,5.915142,6.17933,0,1,123,1,2
4637_dnscacheugc.exe,3.890388,5.659048,5.659048,0,1,74,1,2
4638_doskey.exe,3.252513,4.916912,4.916912,0,1,84,1,2
4639_dpapimig.exe,4.986138,5.057373,5.949862,0,1,105,1,2
4640_DpiScaling.exe,6.07311,4.801995,7.074885,0,1,36,1,2
4641_dpnsvr.exe,2.252909,3.619221,3.654837,0,1,25,1,2
4642_driverquery.exe,5.138867,5.873803,5.873803,0,1,153,1,2
500_tabs.exe,5.000658,5.730524,5.730524,0,1,48,1,2
4646_dstokenclean.exe,2.25645,3.827801,3.827801,0,1,42,1,2
4649_dvdplay.exe,2.491896,3.887462,3.887462,0,1,43,1,2
252_git-credential-manager.exe,5.57237,5.230141,5.230141,0,0,1,1,2
253_git-lfs.exe,6.271569,6.133686,6.133686,0,1,46,1,2
4630_dllhst3g.exe,4.784161,6.097008,6.097008,0,1,87,1,2
4635_DmOmaCpMo.exe,4.384077,5.928874,5.928874,0,1,105,1,2
235_antiword.exe,6.381884,6.326577,6.326577,0,1,91,1,2
238_bunzip2.exe,6.144468,6.212037,6.212037,0,1,87,1,2
239_bzcat.exe,6.144468,6.212037,6.212037,0,1,87,1,2
240_bzip2.exe,6.144468,6.212037,6.212037,0,1,87,1,2
241_bzip2recover.exe,6.049313,6.277319,6.277319,0,1,65,1,2
242_connect.exe,6.068282,6.097732,6.097732,0,1,112,1,2
244_curl.exe,6.913098,6.089234,7.311077,0,0,221,1,2
245_edit_test.exe,5.911848,6.25926,6.25926,0,1,50,1,2
246_edit_test_dll.exe,5.917047,6.208701,6.208701,0,1,60,1,2
2408_VSIXInstaller.exe,5.914599,5.852165,5.852165,0,0,1,1,2
4431_aspnet_regsql.exe,5.755821,5.523584,5.523584,0,0,1,1,2
4433_aspnet_wp.exe,6.709541,6.370995,6.370995,0,1,114,1,2
4434_CasPol.exe,5.756479,5.492918,5.492918,0,0,1,1,2
4435_ComSvcConfig.exe,5.833055,5.692058,5.692058,0,0,1,1,2
4438_DataSvcUtil.exe,5.90346,5.528412,5.528412,0,0,1,1,2
4439_dfsvc.exe,6.640018,5.412,5.412,0,0,1,1,2
4440_EdmGen.exe,5.798902,5.518051,5.518051,0,0,1,1,2
4442_InstallUtil.exe,5.883766,4.90209,4.90209,0,0,1,1,2
4443_jsc.exe,6.172712,5.612569,5.612569,0,0,1,1,2
4444_Microsoft.Workflow.Compiler.exe,6.5463,5.881588,5.881588,0,0,1,1,2
184_testhost.net481.x86.exe,6.587689,6.371337,6.371337,0,0,1,1,2
185_testhost.x86.exe,6.590276,6.375828,6.375828,0,0,1,1,2
122_dockerd.exe,6.375685,6.157326,6.157326,0,1,50,1,2
121_Docker desktop.exe,6.213936,6.119097,6.119097,0,1,46,1,2
120_containerd.exe,6.299555,6.10891,6.10891,0,1,98,1,2
119_containerd-shim-runhcs-v1.exe,6.849224,6.112794,7.998729,0,9,46,1,2
118_com.docker.diagnose.exe,6.241255,6.079041,6.079041,0,1,46,1,2
117_com.docker.build.exe,6.87149,6.132483,7.998978,0,9,48,1,2
116_com.docker.backend.exe,6.387338,6.140822,6.273278,0,1,48,1,2
115_com.docker.admin.exe,6.222484,6.103248,6.103248,0,1,46,1,2
114_buildkitd.exe,6.831505,6.070195,7.999178,0,9,48,1,2
110_DockerCli.exe,6.216404,6.119297,6.119297,0,1,46,1,2
109_Docker Desktop.exe,6.227046,6.132352,6.132352,0,1,46,1,2
137_docker-desktop.exe,6.230666,6.095253,6.095253,0,1,46,1,2
136_docker-debug.exe,6.230117,6.088048,6.088048,0,1,46,1,2
134_docker-buildx.exe,6.382329,6.128122,6.128122,0,1,48,1,2
133_docker-ai.exe,6.227154,6.103651,6.103651,0,1,46,1,2
132_docker-agent.exe,6.36598,6.148367,6.191545,0,1,106,1,2
131_local-sandboxesd.exe,6.506557,6.098078,6.729589,0,1,48,1,2
130_kubectl.exe,6.37573,6.121274,6.613866,0,1,48,1,2
129_hub-tool.exe,6.204822,6.101995,6.101995,0,1,47,1,2
128_extension-admin.exe,6.235952,6.104351,6.104351,0,1,46,1,2
127_docker.exe,6.885825,6.154241,7.999037,0,9,48,1,2
126_docker-credential-wincred.exe,6.105086,6.230522,6.230522,0,1,46,1,2
125_docker-credential-ecr-login.exe,6.189188,6.152794,6.152794,0,1,45,1,2
124_docker-credential-desktop.exe,6.221564,6.119026,6.119026,0,1,46,1,2
147_docker-scout.exe,6.410262,6.13163,6.310933,0,1,48,1,2
146_docker-sbom.exe,6.163012,6.064174,6.064174,0,1,39,1,2
145_docker-sandbox.exe,6.223088,6.091504,6.091504,0,1,46,1,2
144_docker-pass.exe,6.219003,6.098731,6.098731,0,1,46,1,2
143_docker-offload.exe,6.348761,6.154841,6.154841,0,1,48,1,2
142_docker-model.exe,6.325579,6.093339,6.093339,0,1,46,1,2
141_docker-mcp.exe,6.305107,6.114948,6.114948,0,1,48,1,2
140_docker-init.exe,6.147914,6.078923,6.078923,0,1,45,1,2
139_docker-extension.exe,6.20573,6.093596,6.093596,0,1,47,1,2
138_docker-dhi.exe,6.224531,6.099034,6.099034,0,1,46,1,2
188_Uninstall draw.io.exe,6.784954,6.450282,6.450282,0,1,165,1,2
191_Uninstall.exe,6.259755,6.478786,6.478786,0,1,163,1,2
